id,name,party,partyLabel,votes,election,electionLabel,ranking
Q5528262,Gavin Robinson,Q215519,Democratic Unionist Party,20874,Q30173038,General election 2019,1
Q695272,Naomi Long,Q244927,Alliance Party of Northern Ireland,19055,Q30173038,General election 2019,2
,Carl McClean,Q841045,Ulster Unionist Party,2516,Q30173038,General election 2019,3
Q5528262,Gavin Robinson,Q215519,Democratic Unionist Party,23917,Q25052149,General election 2017,1
Q695272,Naomi Long,Q244927,Alliance Party of Northern Ireland,15443,Q25052149,General election 2017,2
,Hazel Legge,Q841045,Ulster Unionist Party,1408,Q25052149,General election 2017,3
,Mairéad O'Donnell,Q76382,Sinn Féin,894,Q25052149,General election 2017,4
,Georgina Milne,Q1096979,Green Party in Northern Ireland,561,Q25052149,General election 2017,5
,Sheila Bodel,Q7058484,Northern Ireland Conservatives,446,Q25052149,General election 2017,6
,Séamas de Faoite,Q175443,Social Democratic and Labour Party,167,Q25052149,General election 2017,7
,Bobby Beck,Q327591,Independent (politician),54,Q25052149,General election 2017,8
Q5528262,Gavin Robinson,Q215519,Democratic Unionist Party,19575,Q3586935,General election 2015,1
Q695272,Naomi Long,Q244927,Alliance Party of Northern Ireland,16978,Q3586935,General election 2015,2
,Neil Wilson,Q7058484,Northern Ireland Conservatives,1121,Q3586935,General election 2015,3
Q16979852,Ross Brown,Q1096979,Green Party in Northern Ireland,1058,Q3586935,General election 2015,4
Q3778315,Niall Ó Donnghaile,Q76382,Sinn Féin,823,Q3586935,General election 2015,5
,Mary Muldoon,Q175443,Social Democratic and Labour Party,127,Q3586935,General election 2015,6
Q695272,Naomi Long,Q244927,Alliance Party of Northern Ireland,12839,Q215622,General election 2010,1
Q333036,Peter Robinson,Q215519,Democratic Unionist Party,11306,Q215622,General election 2010,2
Q3538604,Trevor Ringland,Q7879942,Ulster Conservatives and Unionists,7305,Q215622,General election 2010,3
,David Vance,Q985076,Traditional Unionist Voice,1856,Q215622,General election 2010,4
Q3778315,Niall Ó Donnghaile,Q76382,Sinn Féin,817,Q215622,General election 2010,5
,Mary Muldoon,Q175443,Social Democratic and Labour Party,365,Q215622,General election 2010,6
Q333036,Peter Robinson,Q215519,Democratic Unionist Party,15152,Q428598,General election 2005,1
Q336064,Reg Empey,Q841045,Ulster Unionist Party,9275,Q428598,General election 2005,2
Q695272,Naomi Long,Q244927,Alliance Party of Northern Ireland,3746,Q428598,General election 2005,3
,Deborah Devenny,Q76382,Sinn Féin,1029,Q428598,General election 2005,4
,Mary Muldoon,Q175443,Social Democratic and Labour Party,844,Q428598,General election 2005,5
,Alan Greer,Q7058484,Northern Ireland Conservatives,434,Q428598,General election 2005,6
,Joe Bell,Q1860218,Workers' Party of Ireland,179,Q428598,General election 2005,7
,Lynda Gilby,Q6739060,Vote For Yourself Rainbow Dream Ticket,172,Q428598,General election 2005,8
Q333036,Peter Robinson,Q215519,Democratic Unionist Party,15667,Q590740,General election 2001,1
,Tim Lemon,Q841045,Ulster Unionist Party,8550,Q590740,General election 2001,2
Q6679766,David Alderdice,Q244927,Alliance Party of Northern Ireland,5832,Q590740,General election 2001,3
Q241830,David Ervine,Q1817613,Progressive Unionist Party,3669,Q590740,General election 2001,4
,Joe O'Donnell,Q76382,Sinn Féin,1237,Q590740,General election 2001,5
,Ciara Farren,Q175443,Social Democratic and Labour Party,880,Q590740,General election 2001,6
,Terry Dick,Q7058484,Northern Ireland Conservatives,800,Q590740,General election 2001,7
,Joe Bell,Q1860218,Workers' Party of Ireland,123,Q590740,General election 2001,8
